gene_IDs,gene_names,k_score,action
YPR069C,,1000.0,OE
YPR002W,,1000.0,OE
YPR118W,,1000.0,OE
YJR024C,,1000.0,OE
YBR132C,,1000.0,OE
YMR278W,,1000.0,OE
YNL141W,,1000.0,OE
YML022W,,1000.0,OE
YDR441C,,1000.0,OE
YLR017W,,1000.0,OE
YPR006C,,1000.0,OE
YEL006W,,1000.0,OE
YPL274W,,1000.0,OE
YOR273C,,1000.0,OE
YEL038W,,1000.0,OE
YMR009W,,1000.0,OE
YLL028W,,1000.0,OE
YKL184W,,1000.0,OE
YIL006W,,1000.0,OE
YHL016C,,1000.0,OE
YOL052C,,1000.0,OE
YLR209C,,1000.0,OE
YER070W,,937.5625,OE
YGR180C,,937.5625,OE
YJL026W,,937.5625,OE
YIL066C,,937.5625,OE
YMR246W,,937.5625,OE
YOR317W,,906.34375,OE
YKL188C,,875.125,OE
YBR159W,,875.125,OE
YPL147W,,875.125,OE
YJL196C,,875.125,OE
YLR180W,,17.00063616184779,OE
YDR502C,,17.00063616184779,OE
YKL029C,,11.405528179979768,OE
YOR130C,,11.07884311425451,OE
YOL140W,,11.07884311425451,OE
YER069W,,11.078843114254509,OE
YMR062C,,11.078843114254507,OE
YNL220W,,8.811991033991262,OE
YLR174W,,7.07890468464333,OE
YPR021C,,6.357560378272808,OE
YOL126C,,3.611367187963344,OE
YER099C,,3.48681317154982,OE
YKL181W,,3.48681317154982,OE
YBL068W,,3.4868131715498007,OE
YOL061W,,3.4868131715498007,OE
YHL011C,,3.4868131715498007,OE
YBR218C,,2.219583918845075,OE
YGL062W,,2.2195839188450748,OE
YOR095C,,2.09204735882468,OE
YDR384C,,1.5321107350259155,OE
YPR138C,,1.5321107350259155,OE
YGR121C,,1.5321107350259155,OE
YNL142W,,1.5321107350259155,OE
YLR027C,,1.3195615941080785,OE
YAL062W,,1.2408489949968522,OE
YOR375C,,1.2408489949968522,OE
YJL121C,,0.29476370914747113,KD
YPR074C,,0.2813371653258239,KD
YBR117C,,0.27798052937041207,KD
YEL047C,,0.2756249999999991,KD
YIL134W,,0.2756249999999991,KD
YCR048W,,0.26936773880513903,KD
YNR019W,,0.24413348640860105,KD
YOR245C,,0.12134464854480204,KD
YJR095W,,0.022177260730148148,KO
YJR051W,,0.022176123676449416,KO
YDR452W,,0.015312499999987244,KO
YBR204C,,0.0021874999999999855,KO
YGR277C,,0.0,KO
YER065C,,0.0,KO
YGR240C,,0.0,KO
YOR081C,,0.0,KO
YKL060C,,0.0,KO
YKR089C,,0.0,KO
YKL106W,,0.0,KO
YMR205C,,0.0,KO
YMR313C,,0.0,KO
YDR196C,,0.0,KO
YFL030W,,-1.179772835445517e-06,KO
