gene_IDs,gene_names,k_score,action
YPL274W,,1000.0,OE
YPL036W,,1000.0,OE
YEL017C-A,,1000.0,OE
YOR273C,,1000.0,OE
YER005W,,1000.0,OE
YBR132C,,1000.0,OE
YPR069C,,1000.0,OE
YCR024C-A,,1000.0,OE
YKL184W,,1000.0,OE
YHL016C,,1000.0,OE
YGL008C,,1000.0,OE
YLL028W,,1000.0,OE
YHR137W,,989.5537458657958,OE
YJR024C,,989.5537458657958,OE
YOL052C,,989.5537458657958,OE
YMR009W,,989.5537458657958,OE
YMR278W,,989.5537458657958,OE
YLR017W,,989.5537458657958,OE
YLR209C,,989.5537458657958,OE
YEL038W,,989.5537458657958,OE
YPR118W,,989.5537458657958,OE
YKL087C,,937.5625,OE
YAL039C,,937.5625,OE
YBR041W,,62.97996475784505,OE
YKR031C,,62.56016101158769,OE
YOR388C,,44.101068004172504,OE
YDR502C,,14.949389709927193,OE
YJR105W,,14.949389709927193,OE
YLR180W,,14.949389709927193,OE
YKL029C,,11.869122211368241,OE
YMR062C,,11.516413104425657,OE
YOL140W,,11.516413104425657,OE
YER069W,,11.516413104425656,OE
YOR130C,,11.516413104425656,OE
YPR021C,,6.604550254820689,OE
YOL126C,,4.121620869082849,OE
YCR037C,,2.6563524062650616,OE
YNR013C,,2.6563524062650616,OE
YBR296C,,2.6563524062650616,OE
YML123C,,2.6563524062650616,OE
YJL198W,,2.6563524062650616,OE
YDL066W,,2.5497048396161723,OE
YGL062W,,2.30165535525855,OE
YBR218C,,2.30165535525855,OE
YOR095C,,1.9580558346418295,OE
YAL062W,,1.743521649785722,OE
YOR375C,,1.743521649785722,OE
YNL036W,,1.6706276332410641,OE
YGR121C,,1.5832185597855557,OE
YNL142W,,1.5832185597855557,OE
YPR138C,,1.5832185597855557,OE
YDR384C,,1.5832185597855557,OE
YGR256W,,1.3297657399700078,OE
YHR183W,,1.3297657399700078,OE
YNL241C,,1.3297657399700078,OE
YHR163W,,1.3297657399700076,OE
YGR248W,,1.3297657399700076,OE
YPL214C,,0.23616710526315932,KD
YPL258C,,0.23616710526315932,KD
YFL058W,,0.23616710526315932,KD
YOL055C,,0.23616710526315932,KD
YGR019W,,0.23616710526315932,KD
YBR006W,,0.23616710526315932,KD
YPR121W,,0.23616710526315932,KD
YOR245C,,0.21803515540163945,KD
YMR267W,,0.21199739499068826,KD
YDR503C,,0.11096414640766575,KD
YLL052C,,0.09490478502037657,KD
YPR192W,,0.09490478502037657,KD
YGR170W,,0.09433042604393849,KD
YKR052C,,0.06382894736842146,KD
YDR047W,,0.06382894736842146,KD
YOR176W,,0.06382894736842146,KD
YGL040C,,0.06382894736842146,KD
YDR232W,,0.06382894736842146,KD
YER014W,,0.06382894736842146,KD
YDR044W,,0.06382894736842146,KD
YJL133W,,0.06382894736842146,KD
YOR278W,,0.06382894736842144,KD
YDL205C,,0.06382894736842144,KD
YIL048W,,0.05106315789473542,KD
YMR162C,,0.05106315789473542,KD
YCR005C,,3.2542564288998306e-35,KO
YPL147W,,0.0,KO
YKL188C,,0.0,KO
YNL117W,,0.0,KO
YOR081C,,0.0,KO
YHR123W,,0.0,KO
YIL006W,,0.0,KO
YER019W,,0.0,KO
YEL006W,,0.0,KO
YLR304C,,0.0,KO
YKR089C,,0.0,KO
YMR303C,,-0.018428682391170636,KO
YPR006C,,-0.2793746081379651,KO
YPR002W,,-0.2793746081379651,KO
YPR001W,,-0.2793746081379651,KO
YBR002C,,-0.625,KO
YMR101C,,-0.625,KO
YAL026C,,-0.6978536025761338,KO
YLL053C,,-0.9918645923072988,KO
